listing_id,title,price,description,image_url,listing_url
1724484480,2014 Mercedes-Benz E-Class,"$21,950",For instant pre approval visit http://rockcliffauto.ca EXTREMELY AFFORDABLE CARS AND TRUCKS. YOU WILL NOT FIND BETTER DEALS. ALL VEHICLES SOLD WITH CLEAN TITLES! DETAILED FOR FREE! Financing available for as low a 4.99% OAC *NO CREDIT CHECK FINANCING AVAILABLE. WE CAN GET YOU APPROVED! NO CREDIT CHECKS! JUST BRING YOU’RE SMILE AND A LITTLE MONEY * ATTENTION* due to recent economic events all our prices are reduced. This vehicle is sold without certification. Certification costs $999 additional to sale price + HST. **Call 416 686-6963 for more information. ALL OUR VEHICLES ARE REDUCED! NO CREDIT CHECKS! 100% Approved! We are located at 3264 Danforth ave! NO CREDIT CHECKS WE FINANCE EVERYONE!Contact our sales department today! Engine: V6 Cylinder Engine 3.5L L/100Km City: 10.2 L/100Km Hwy: 6.8,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b1/b12cb9e7-b52d-4bb5-bf27-27f29472f541?rule=kijijica-640-webp ,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2014-mercedes-benz-e-class/1724484480
1725079419,"2023 Hyundai Elantra Preferred, Keyless Entry, Alloy Wheels, Blu","$21,991","Check out this sleek 2023 Hyundai Elantra Preferred! With its stylish silver exterior, comfortable black interior, and convenient features like keyless entry and Bluetooth, this sedan is sure to impress. Perfect for daily commutes or weekend adventures, this car is ready to hit the road with you behind the wheel. Don't miss out on this opportunity to drive home in style! We are offering the LOWEST possible interest rates! Everyone is Approved! _____________________ WE ARE OPEN 7 DAYS except for statutory holidays! …………………………………………………………………………………………………. HUNDRED PERCENT PRICE MATCH POLICY BASED ON TRIMS|KMS|CARFAX|COLOUR| …………………………………………………………………………………………………….. FREE HOME DELIVERY BASED ON YOUR POSTAL CODE ……………………………………………………………………………………………………… EXCHANGE POLICY: MAXIMUM 7 BUSINESS DAYS/1500 KMS IF DEALER CAN NOT FIX ISSUE/CONCERN. ……………………………………………………………………………………………………. OUR CERTIFIED PRE-OWNED PROGRAM ON 2024 AND 2025 MODELS IS ONLY $499 OUR CERTIFIED PRE-OWNED PROGRAM ON 2023 AND BELOW MODELS IS ONLY $799 We must state this.... As Per Regulations: This vehicle is not certified e-tested not drivable. If the Safety and E-test is Purchased the vehicle is then drivable. This Safety and E-test fee is NOT mandatory to be paid, you can also take the vehicle to your own mechanic. Looking to Finance a car and want to save money at the same time. We have redesigned our dealership for our customers and we offer vehicles on finance or lease with lowest possible interest rates O.A.C. Variable installation and delivery fees may apply. Cash Purchases are most welcome for the same asking price. Variable admin fee may apply. Dealer reserves the right to decline credit card purchases (credit card payments in excess of $2,000) at its sole and exclusive discretion. Prices are subject to change without notice, please contact dealer for details. We are now located at TWO LOCATIONS to serve you and your neighbourhood. Mississauga - 2701 DERRY ROAD EAST, MISSISSAUGA, L4T 1A2 Oakville - 333 WYECROFT ROAD, OAKVILLE, L6K 2H2 While we try our best, information of the vehicle is not 100% accurate. Please contact the sales representative to confirm features of the car. Peel Car Sales is a reputable and trustworthy used car dealership serving the Greater Toronto and adjoining areas since 2014. Call or text us direct, AT 1(647)678-7778. (FACETIME/WHATSAPP)",https://media.kijiji.ca/api/v1/autos-prod-ads/images/8a/8a02176e-117b-4f1e-b4e5-f9a815984d66?rule=kijijica-640-webp ,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2023-hyundai-elantra-preferred-keyless-entry-alloy-wheels-blu/1725079419
1726534057,2022 Honda Accord EX-L,"$33,488","2022 Honda Accord EX-L NO ACCIDENT | CARPLAY | PUSH START | SUNROOF APPLE CAR PLAY, ANDROID AUTO, NO ACCIDENTS, **MARKET VALUE PRICING**, Leather. Welcome to Morningside Nissan, your ultimate destination for all things Nissan in Scarborough and the neighbouring regions. We’re not just a car dealership; we’re a passionate team of automotive enthusiasts devoted to delivering outstanding service and offering a broad range of new and pre-owned vehicles. While we take pride in featuring the latest Nissan models, we also recognize that our customers have varied tastes. That’s why we keep a comprehensive inventory of high-quality used Nissan cars, trucks, and SUVs, as well as other makes and models. We’re certain you’ll discover the ideal vehicle to match your lifestyle and budget right here. Looking for a new Nissan in Scarborough? Visit our showroom and explore the latest models, ranging from fuel-efficient sedans like the Nissan Sentra and Altima to powerful SUVs like the Our pre-owned inventory is meticulously curated and thoroughly inspected to guarantee quality and peace of mind. While we offer a diverse selection of used Nissans, we also carry all makes and models. Each vehicle is accompanied by a comprehensive history report, and our team is dedicated to transparency, enabling you to make an informed decision. Beyond sales, we provide extensive Nissan service in Scarborough. Our cutting-edge service center is manned by certified technicians who utilize authentic Nissan parts to ensure your vehicle operates seamlessly. Whether it’s routine maintenance such as oil changes and brake inspections or more significant repairs, we’ve got you covered. Our parts department carries an extensive selection of genuine Nissan components, guaranteeing the highest quality and an ideal fit for your vehicle. We also provide a variety of Nissan parts and accessories. Our experienced parts specialists are ready to assist you in finding the right components to maintain your car in excellent condition. “The listed price reflects the financing price. A cash purchase will cost an additional $1,000.” Engine: I4 DOHC 16V Turbocharged L/100Km City: 7.8 L/100Km Hwy: 6.5",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/ec/ecb373b6-a9b9-4e27-a5d4-9b2594b1705b?rule=kijijica-640-webp ,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2022-honda-accord-ex-l/1726534057
1724380454,2016 Honda HR-V,"$16,999","Just in, One Owner, Carfax Clean Honda HRV EX-L AWD, car is sold fully certified. Safe Lane (416) 656-2401 Licensing and taxes extra, financing available. Engine: 4 Cylinder Engine 1.8L L/100Km City: 8.8 L/100Km Hwy: 7.2",https://media.kijiji.ca/api/v1/autos-prod-ads/images/87/877d708e-b564-4e91-8ced-39e8a0eb9d73?rule=kijijica-640-webp ,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2016-honda-hr-v/1724380454
1724319123,2023 Honda Civic Touring *HONDA SENSING TECH / APPLE CARPLAY*,"$24,000","EASY PRICE, ONE LOW PRICE. EVERY VEHICLE. EVERY DAY!, The Honda Civic is Canada's Best Selling Car 24 Years In A Row!, SERVICED AT GENUWINE HONDA DEALERSHIPS, ONE OWNER, LOCAL TRADE, APPLE CARPLAY, ANDROID AUTO, BLUETOOTH, REAR-VIEW CAMERA, HEATED SEATS, Honda Sensing Technologies HONDA SENSING TECHNOLOGIES, black Leather. Recent Arrival! 2023 Honda Civic TouringOur team of professionals are committed to helping you with all of your automotive needs during these challenging times. Our virtual sales department is available online @ midtownhonda.com to answer all of your questions and facilitate your purchase from convenience of your home. Its simple as these four steps : 1 Pick your vehicle and get a quote 2 Get a virtual tour 3 Complete all the documents 4 Have the vehicle delivered to you! Whatever your personal automotive needs are, rest assured that Midtown Honda is here to make your sales experience a safe and enjoyable one during these very unique times. Please visit us @ midtownhonda.com. Thank you for your loyalty and support from Midtown Honda!Why buy from the Rafih Auto Group ? Whether you are looking for a great place to buy your next new or used vehicle, find a qualified repair centre, or looking for parts for your vehicle, the Rafih Auto Group has the answer. • We offer both New vehicles and Pre-owned vehicles with over 25 brand manufacturers and over 500 Pre-owned Vehicles to choose from. • We’re constantly changing to meet the needs of our customers and stay ahead of the competition and we are committed to investing in modern technology to ensure that we are always on the cutting edge. • We use very strategic programs and tools that give us current market data to price our vehicles to the market to make sure that our customers are getting the best deal not only on the new car but on your trade in as well. Ask for your free Live Market analysis report and save time and money. • WE BUY CARS – Any make, model or condition ; No purchase necessary. • We are OPEN 24 hours a Day/7 Days a week with our online showroom and chat service. • Our market value pricing provides the most competitive prices on all our pre-owned vehicles all the time. Market Value Pricing is achieved by polling over 20,000 pre-owned websites every day to ensure that every single customer receives real time Market Value Pricing on every pre-owned vehicle we sell.",https://media.kijiji.ca/api/v1/autos-prod-ads/images/ae/ae995040-01ef-4dc0-b4b3-55910899d589?rule=kijijica-640-webp ,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2023-honda-civic-touring-honda-sensing-tech-apple-carplay/1724319123
1724429855,2021 Chevrolet Equinox LS AWD *BACKUP CAM/BLUETOOTH/ALLOYS/EASY,"$13,995","2021 CHEVROLET EQUINOX LS AWD CARFAX VERIFIED, CLEAN TITLE !! 190,932KM HIGHWAY DRIVEN AUTOMATIC TRANSMISSION SILVER EXTERIOR ON TWO TONE GRAY INTERIOR LOADED BACKUP CAMERA, BLUETOOTH, ALLOY WHEELS, KEYLESS ENTRY, HEATED SEATS, POWER LOCKS, POWER WINDOWS, COLD A/C MUCH MORE!!! PRICED TO SELL! SHOP AND COMPARE! SOLD FOR $13,995+HST+LICENSING CERTIFICATION AVAILABLE FOR AN ADDITIONAL $899 VEHICLE IS NOT DRIVEABLE, NOT CERTIFIED, NOT E-TESTED. CERTIFICATION IS AVAILABLE FOR AN ADDITIONAL $899 EXTENDED WARRANTY PACKAGES AVAILABLE! WE WORK WITH ALL MAJOR WARRANTY COMPANIES! PLEASE VISIT WWW.CARCONNECTIONTORONTO.CA TO VIEW ALL OF OUR INVENTORY! WE ARE LOCATED AT 1117 FINCH AVE W. (ON THE SOUTH EAST CORNER OF FINCH AND CHESSWOOD). PLEASE CALL 1 (888) 541-8748 TO SCHEDULE A VIEWING. Car Connection Toronto is a used car dealer situated in North York, ON. We have a large selection of pre-owned vehicles that fit your budget. We sell Acura, Audi, Alfa Romeo, BMW, Cadillac, Chevrolet, Chrysler, Dodge, Ford, GMC, Honda, Hyundai, Infiniti, Jaguar, Jeep, KIA, Land Rover, Lexus, Maserati, Mazda, Mercedes Benz, MINI, Mitsubishi, Nissan, Porsche, Subaru, Tesla, Toyota, VW and many other makes models. We are a proud member of OMVIC. Our heated 10,000 square foot showroom is open all year round. We strive to offer customers the best prices, selection customer service. We offer financing for all types of credits. No credit? Bad credit? No problem! Rates start at 6.99% O.A.C. PLEASE VISIT WWW.CARCONNECTIONTORONTO.CA TO VIEW ALL OF OUR INVENTORY! WE ARE LOCATED AT 1117 FINCH AVE W. (ON THE SOUTH EAST CORNER OF FINCH AND CHESSWOOD). PLEASE CALL 1 (888) 541-8748 TO SCHEDULE A VIEWING. Car Connection Toronto is a used car dealer situated in North York, ON. We have a large selection of pre-owned vehicles that fit your budget. We sell Acura, Audi, Alfa Romeo, BMW, Cadillac, Chevrolet, Chrysler, Dodge, Ford, GMC, Honda, Hyundai, Infiniti, Jaguar, Jeep, KIA, Land Rover, Lexus, Maserati, Mazda, Mercedes Benz, MINI, Mitsubishi, Nissan, Porsche, Subaru, Tesla, Toyota, VW and many other makes models. We are a proud member of OMVIC. Our heated 10,000 square foot showroom is open all year round. We strive to offer customers the best prices, selection customer service. We offer financing for all types of credits. No credit? Bad credit? No problem! Rates start at 6.99% O.A.C. Engine: 1.5 L 4 Cylinder",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/36/360262e7-e987-4350-9f81-8b828e6b84b0?rule=kijijica-640-webp ,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2021-chevrolet-equinox-ls-awd-backup-cam-bluetooth-alloys-easy/1724429855
1727587395,car for sale,"$10,000",Contact if interested,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/63/63248603-fd8b-4532-b1f0-8197d560a3e8?rule=kijijica-640-webp ,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/car-for-sale/1727587395
1727591519,Clean car,"$8,500","Dodge caravan 2017 for sale in great condition runs and drives perfectly fine with out any issue. Used for everyday van in the passt 3 years and never give us any major problem. Clean title no accident however couple of dent and scratches from years.... 7 seates with power windows great working ac/Heat and eco mode. Engine and transmission number one no, no engine light or any warning lights on dash. Serious buyers only firm price on this As Is sale. Thanks",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/26/2615d3f2-17cc-4b76-88fb-7085673bec1c?rule=kijijica-640-webp ,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/clean-car/1727591519
1727308512,car for sale,"$44,499","2025 Toyota Camry SE. 5600 km. No accident, heated seat & weel",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/46/46f0ec4f-4ee8-4d18-a52e-cad6f9f025ba?rule=kijijica-640-webp ,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/car-for-sale/1727308512
1726664329,Indoor car storage,N/A,"Professional indoor car storage facility located in Toronto/Etobicoke. Clean, heated and secure and can accommodate any size vehicle. Best rates and service in the city so contact us now.",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/fd/fdc617d6-fed2-403a-93e3-d8a3a78b0f7e?rule=kijijica-640-webp ,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/indoor-car-storage/1726664329
